Relacionarse;Oír;Hablar;Ver;Caminar;Manos;Aprendizaje;Comervestirsebañarse;cardíacosrespiratorios;SI
7;49;71;228;298;42;69;9;42;0
50;230;188;883;691;86;258;28;138;2
13;98;72;295;274;43;120;17;45;0
11;93;90;435;291;45;96;6;44;0
13;181;93;478;378;67;71;12;63;4
4;59;40;299;184;11;38;5;80;3
36;673;310;3465;1730;166;447;39;396;4
25;103;124;316;319;49;69;8;47;0
11;125;82;456;476;76;129;15;74;1
19;175;99;827;626;61;140;14;215;0
13;55;59;193;220;37;77;8;30;2
3;63;74;266;149;35;77;12;37;0
21;276;127;1502;942;121;221;39;234;0
32;489;263;2408;1340;187;248;36;318;3
10;208;95;818;365;71;92;37;136;1
6;39;51;77;112;18;67;8;13;2
9;91;27;295;342;35;69;11;69;5
2;143;47;423;242;44;40;4;86;0
10;137;41;340;471;65;76;10;90;1
4;213;65;693;505;59;91;8;163;3
5;138;30;164;254;27;60;6;53;0
0;37;13;150;98;14;3;0;13;0
5;41;7;51;90;16;25;0;12;1
6;65;18;139;185;57;82;2;43;1
1;36;20;124;124;26;32;0;36;0
4;135;58;545;425;58;62;5;196;1
76;364;117;1469;1131;308;305;28;524;3
2;52;27;65;70;17;21;5;19;0
16;120;46;188;369;33;76;11;100;1
9;123;39;617;347;64;41;1;159;1
10;86;25;627;476;93;84;4;206;0
85;722;181;2674;2006;408;577;58;819;11
11;155;33;651;349;14;90;5;98;0
10;132;27;403;464;79;67;7;135;0
17;206;71;1096;490;90;123;7;234;2
9;232;80;389;522;50;123;7;154;0
20;238;72;639;488;85;138;9;174;1
5;108;31;283;247;58;54;5;66;0
15;444;93;1836;1040;112;223;17;393;1
1;28;5;26;45;5;21;1;3;0
6;34;26;597;167;52;55;4;92;1
74;538;191;1247;1737;388;506;49;489;2
4;171;50;518;556;50;129;11;235;1
5;87;39;343;333;41;49;1;136;0
46;356;115;1937;919;199;327;32;277;4
3;44;31;221;261;25;28;1;109;1
102;1160;280;4100;2924;363;671;67;1402;7
4;80;22;228;276;50;64;4;131;0
8;111;44;1064;409;87;76;8;131;2
7;158;34;494;570;39;102;9;78;1
5;66;19;168;152;11;22;2;65;0
42;487;200;1115;1630;155;539;60;341;9
5;71;21;236;150;23;52;5;42;3
4;76;35;278;249;40;76;8;152;0
8;189;97;459;526;61;107;17;60;1
5;114;31;188;273;36;79;8;66;0
6;28;14;213;92;12;8;4;51;0
1;110;37;543;384;24;51;4;120;1
3;88;16;260;200;31;61;2;45;0
8;10;20;37;58;6;15;2;4;1
1;64;22;178;168;25;41;0;34;0
1;37;6;56;49;2;9;2;12;0
5;92;17;201;384;54;49;7;100;0
11;160;47;300;518;71;149;20;143;1
33;421;84;1345;1169;144;164;13;520;1
5;91;40;181;147;23;17;7;32;1
6;91;25;205;254;44;26;5;63;0
7;172;57;477;369;42;44;11;66;1
5;82;15;276;284;34;58;9;88;1
7;91;30;269;343;47;85;5;128;0
57;484;186;1434;1498;372;388;38;455;7
2;74;18;170;185;13;26;4;54;0
4;60;37;138;122;18;52;1;49;0
72;552;163;2207;1468;347;508;41;440;5
1;8;11;20;42;2;10;2;3;0
6;56;27;152;185;33;37;6;62;1
2;74;17;155;141;12;33;6;31;1
3;35;23;94;93;9;20;0;48;1
4;91;28;379;295;30;27;1;60;0
5;75;16;440;205;22;40;11;125;1
28;376;99;1011;1067;127;242;25;464;3
3;74;36;239;232;26;35;2;62;0
5;71;28;251;213;19;35;8;52;1
4;49;23;244;178;9;25;4;55;0
6;156;28;592;364;51;76;4;76;0
10;191;68;884;504;45;87;5;183;1
1;37;19;68;98;22;29;0;16;0
1;71;15;144;140;29;16;1;34;0
3;45;11;129;158;19;17;4;66;1
9;183;52;658;456;90;94;8;203;3
6;63;24;137;220;31;37;3;35;0
7;74;30;199;210;17;50;10;68;0
3;103;18;293;302;36;47;5;88;2
4;152;42;697;453;28;60;1;172;1
1;57;14;174;113;19;32;2;14;0
6;73;28;381;235;20;38;7;95;3
10;118;41;263;202;20;61;4;44;1
5;141;29;370;329;40;57;3;67;1
5;116;29;373;295;61;44;3;85;0
29;222;68;1147;640;125;164;16;253;24
12;210;61;536;724;95;134;19;201;0
12;126;50;619;435;65;81;8;255;2
393;3246;1120;10022;9025;1992;2537;233;2792;59
19;194;60;1176;767;158;102;22;294;5
10;78;23;212;247;52;67;2;144;0
6;82;28;173;198;38;40;10;81;0
4;104;27;495;261;36;39;2;94;0
2;40;23;151;192;27;35;6;71;1
4;47;18;185;131;26;26;2;70;1
10;113;26;223;384;86;91;6;164;1
1;59;19;231;108;11;19;0;16;1
6;119;21;416;415;46;46;1;142;0
5;104;37;172;232;46;63;4;51;0
2;117;25;344;201;27;25;0;94;0
1;23;10;77;119;8;32;4;32;0
15;254;83;717;651;48;112;8;242;0
20;202;64;743;536;152;138;6;123;0
0;73;34;179;209;18;32;0;25;0
6;106;55;171;226;16;71;7;49;2
4;155;50;376;363;39;44;5;125;0
24;142;71;718;572;140;152;17;333;0
8;140;41;878;491;85;87;2;295;0
0;40;17;72;120;15;35;2;8;0
4;124;36;379;579;54;30;2;85;0
6;49;25;90;142;15;34;2;31;0
1;49;9;115;140;22;16;1;53;0
10;203;74;1448;858;146;173;11;438;1
9;161;71;504;587;85;93;12;217;0
