Fecha;RENTABILIDAD
11.11.2021;8,119
10.11.2021;8,087
09.11.2021;8,052
08.11.2021;8,14
05.11.2021;8,2
04.11.2021;8,118
03.11.2021;8,183
02.11.2021;8,074
29.10.2021;8,282
28.10.2021;8,375
27.10.2021;8,35
26.10.2021;8,29
25.10.2021;8,215
22.10.2021;8,254
21.10.2021;8,16
20.10.2021;8,09
19.10.2021;8,105
17.10.2021;8,113
16.10.2021;8,113
15.10.2021;8,113
14.10.2021;8,08
13.10.2021;8,09
12.10.2021;8,087
11.10.2021;8,118
10.10.2021;8,08
08.10.2021;8,08
07.10.2021;8,066
06.10.2021;8,096
05.10.2021;8,131
04.10.2021;8,132
01.10.2021;8,064
30.09.2021;8,071
29.09.2021;8,071
28.09.2021;8,085
27.09.2021;8,106
24.09.2021;8,17
23.09.2021;8,15
22.09.2021;8,109
21.09.2021;8,132
20.09.2021;8,119
19.09.2021;8,02
18.09.2021;8,02
17.09.2021;8,02
16.09.2021;7,939
15.09.2021;7,836
14.09.2021;7,85
13.09.2021;7,79
09.09.2021;7,804
08.09.2021;7,721
07.09.2021;7,74
06.09.2021;7,727
05.09.2021;7,682
03.09.2021;7,682
02.09.2021;7,661
01.09.2021;7,653
31.08.2021;7,622
30.08.2021;7,73
29.08.2021;7,74
28.08.2021;7,74
27.08.2021;7,74
26.08.2021;7,78
25.08.2021;7,812
24.08.2021;7,797
23.08.2021;7,827
20.08.2021;7,828
19.08.2021;7,825
18.08.2021;7,82
17.08.2021;7,761
13.08.2021;7,755
12.08.2021;7,79
11.08.2021;7,85
10.08.2021;7,899
09.08.2021;7,88
07.08.2021;7,783
06.08.2021;7,783
05.08.2021;7,685
04.08.2021;7,65
03.08.2021;7,648
02.08.2021;7,66
30.07.2021;7,682
29.07.2021;7,74
28.07.2021;7,814
27.07.2021;7,817
26.07.2021;7,749
23.07.2021;7,63
19.07.2021;7,574
16.07.2021;7,59
15.07.2021;7,596
14.07.2021;7,5
13.07.2021;7,56
12.07.2021;7,475
09.07.2021;7,465
08.07.2021;7,51
07.07.2021;7,63
06.07.2021;7,585
04.07.2021;7,61
02.07.2021;7,61
01.07.2021;7,65
30.06.2021;7,704
29.06.2021;7,6
28.06.2021;7,615
25.06.2021;7,66
24.06.2021;7,71
23.06.2021;7,635
22.06.2021;7,56
21.06.2021;7,71
18.06.2021;7,68
17.06.2021;7,58
16.06.2021;7,616
15.06.2021;7,68
11.06.2021;7,575
10.06.2021;7,53
09.06.2021;7,454
08.06.2021;7,5
04.06.2021;7,651
03.06.2021;7,814
02.06.2021;7,79
01.06.2021;7,9
31.05.2021;7,98
30.05.2021;7,99
29.05.2021;7,99
28.05.2021;7,99
27.05.2021;8
26.05.2021;8,07
25.05.2021;8,119
24.05.2021;8,2
21.05.2021;8,07
20.05.2021;8,022
19.05.2021;7,933
18.05.2021;7,854
16.05.2021;7,902
15.05.2021;7,902
14.05.2021;7,902
13.05.2021;7,9
12.05.2021;8,13
11.05.2021;8,01
10.05.2021;7,64
08.05.2021;7,55
07.05.2021;7,55
06.05.2021;7,346
05.05.2021;7,611
04.05.2021;7,75
03.05.2021;7,52
30.04.2021;7,216
29.04.2021;7,23
28.04.2021;7,207
27.04.2021;7,19
26.04.2021;7,149
23.04.2021;6,975
22.04.2021;6,97
21.04.2021;6,943
20.04.2021;6,91
19.04.2021;6,89
18.04.2021;6,874
17.04.2021;6,874
16.04.2021;6,874
15.04.2021;6,87
14.04.2021;6,97
13.04.2021;6,98
12.04.2021;7
11.04.2021;6,92
10.04.2021;6,92
09.04.2021;6,92
08.04.2021;6,773
07.04.2021;6,925
06.04.2021;7,031
05.04.2021;7,31
31.03.2021;7,32
30.03.2021;7,42
29.03.2021;7,33
26.03.2021;7,232
25.03.2021;7,214
24.03.2021;7,18
23.03.2021;7,055
21.03.2021;6,975
20.03.2021;6,975
19.03.2021;6,975
18.03.2021;6,9
17.03.2021;6,81
16.03.2021;6,71
15.03.2021;6,633
14.03.2021;6,64
13.03.2021;6,64
12.03.2021;6,64
11.03.2021;6,582
10.03.2021;6,63
09.03.2021;6,745
08.03.2021;6,823
05.03.2021;6,68
04.03.2021;6,569
03.03.2021;6,55
02.03.2021;6,37
01.03.2021;6,299
28.02.2021;6,363
27.02.2021;6,363
26.02.2021;6,363
25.02.2021;6,4
24.02.2021;6,201
23.02.2021;6,2
22.02.2021;6,22
19.02.2021;6,067
18.02.2021;5,965
17.02.2021;5,95
16.02.2021;5,98
15.02.2021;5,91
14.02.2021;5,88
12.02.2021;5,88
11.02.2021;5,895
10.02.2021;5,9
09.02.2021;5,9
08.02.2021;5,96
05.02.2021;5,909
04.02.2021;5,933
03.02.2021;5,88
02.02.2021;5,967
01.02.2021;5,955
29.01.2021;5,923
28.01.2021;5,939
27.01.2021;5,96
26.01.2021;5,93
25.01.2021;5,91
24.01.2021;5,855
23.01.2021;5,855
22.01.2021;5,855
21.01.2021;5,805
20.01.2021;5,796
19.01.2021;5,82
18.01.2021;5,817
15.01.2021;5,805
14.01.2021;5,77
13.01.2021;5,8
12.01.2021;5,85
09.01.2021;5,769
08.01.2021;5,769
07.01.2021;5,74
06.01.2021;5,71
05.01.2021;5,674
04.01.2021;5,668
30.12.2020;5,755
29.12.2020;5,78
28.12.2020;5,82
23.12.2020;5,79
22.12.2020;5,789
21.12.2020;5,75
18.12.2020;5,79
17.12.2020;5,86
16.12.2020;5,89
15.12.2020;5,899
11.12.2020;5,895
10.12.2020;5,91
09.12.2020;5,885
07.12.2020;5,89
04.12.2020;5,892
03.12.2020;5,861
02.12.2020;5,937
01.12.2020;5,935
30.11.2020;5,9
29.11.2020;5,9
28.11.2020;5,9
27.11.2020;5,9
26.11.2020;5,937
25.11.2020;5,935
24.11.2020;5,92
23.11.2020;5,953
21.11.2020;5,989
20.11.2020;5,989
19.11.2020;6,019
18.11.2020;6,01
17.11.2020;6,032
15.11.2020;6
14.11.2020;6
13.11.2020;6,01
12.11.2020;6,011
11.11.2020;6
10.11.2020;6,03
06.11.2020;5,96
05.11.2020;5,996
04.11.2020;6,12
03.11.2020;6,179
30.10.2020;6,19
29.10.2020;6,19
28.10.2020;6,22
27.10.2020;6,17
26.10.2020;6,16
25.10.2020;6,06
24.10.2020;6,06
23.10.2020;6,06
22.10.2020;6,07
21.10.2020;6,058
20.10.2020;6,001
19.10.2020;5,984
16.10.2020;5,93
15.10.2020;5,92
14.10.2020;5,93
13.10.2020;5,946
11.10.2020;5,97
10.10.2020;5,97
09.10.2020;5,97
08.10.2020;5,976
07.10.2020;6,1
06.10.2020;6,085
05.10.2020;6,1
04.10.2020;6,08
02.10.2020;6,08
01.10.2020;6,07
30.09.2020;6,03
29.09.2020;6,04
28.09.2020;6,01
27.09.2020;6,05
26.09.2020;6,05
25.09.2020;6,05
24.09.2020;6
23.09.2020;6,05
22.09.2020;6,03
18.09.2020;5,907
17.09.2020;5,859
16.09.2020;5,84
15.09.2020;5,8
14.09.2020;5,84
11.09.2020;5,9
10.09.2020;5,89
09.09.2020;5,866
08.09.2020;5,895
07.09.2020;5,817
04.09.2020;5,84
03.09.2020;5,838
02.09.2020;5,855
01.09.2020;5,95
31.08.2020;6,219
30.08.2020;6,325
29.08.2020;6,325
28.08.2020;6,325
27.08.2020;6,35
26.08.2020;6,34
25.08.2020;6,345
24.08.2020;6,3
23.08.2020;6,28
21.08.2020;6,28
20.08.2020;6,232
19.08.2020;6,27
18.08.2020;6,26
14.08.2020;6,34
13.08.2020;6,37
12.08.2020;6,32
11.08.2020;6,206
10.08.2020;6,099
06.08.2020;6,12
05.08.2020;6,2
04.08.2020;6,3
03.08.2020;6,36
31.07.2020;6,39
30.07.2020;6,416
29.07.2020;6,44
28.07.2020;6,415
27.07.2020;6,44
24.07.2020;6,445
23.07.2020;6,47
22.07.2020;6,48
21.07.2020;6,43
17.07.2020;6,48
16.07.2020;6,47
15.07.2020;6,455
14.07.2020;6,48
13.07.2020;6,47
11.07.2020;6,47
10.07.2020;6,47
09.07.2020;6,491
08.07.2020;6,53
07.07.2020;6,511
06.07.2020;6,48
04.07.2020;6,48
03.07.2020;6,48
02.07.2020;6,514
01.07.2020;6,67
30.06.2020;6,683
28.06.2020;6,73
25.06.2020;6,77
24.06.2020;6,72
23.06.2020;6,63
19.06.2020;6,585
18.06.2020;6,65
17.06.2020;6,681
12.06.2020;6,61
11.06.2020;6,753
10.06.2020;6,46
08.06.2020;6,25
05.06.2020;6,32
04.06.2020;6,36
03.06.2020;6,26
02.06.2020;6,224
01.06.2020;6,244
29.05.2020;6,242
28.05.2020;6,14
27.05.2020;6,1
26.05.2020;6,12
22.05.2020;6,24
21.05.2020;6,23
20.05.2020;6,25
19.05.2020;6,33
18.05.2020;6,36
15.05.2020;6,44
14.05.2020;6,42
13.05.2020;6,37
12.05.2020;6,36
11.05.2020;6,41
08.05.2020;6,35
07.05.2020;6,545
06.05.2020;6,64
05.05.2020;6,65
04.05.2020;6,85
30.04.2020;7,11
29.04.2020;7,125
28.04.2020;7,17
27.04.2020;7,15
24.04.2020;7,17
23.04.2020;7,09
22.04.2020;7,205
21.04.2020;7,13
20.04.2020;7,15
17.04.2020;7
16.04.2020;6,85
15.04.2020;7,125
14.04.2020;7,5
13.04.2020;7,82
08.04.2020;7,9
07.04.2020;8
06.04.2020;8,1
03.04.2020;7,93
02.04.2020;7,75
01.04.2020;7,701
31.03.2020;7,2
30.03.2020;7,2
27.03.2020;7,3
26.03.2020;7,17
25.03.2020;7,85
24.03.2020;8,659
