BVC;CANACOL;ISA;GRUBOLIVAR;PFDAVVNDA;ECOPETROL;PFBCOLOM;BCOLOMBIA;COLCAP
9000;51000;8830;55000;27000;1410;25440;23700;1320
9050;51800;8800;55000;27060;1400;25300;23520;1315
9100;51100;8720;54000;27340;1395;25140;23200;1303
8950;51000;8680;54000;27400;1395;25280;23300;1304
9000;50900;8640;54000;27580;1395;25400;23600;1308
9050;51500;8610;54000;27800;1415;25520;23980;1308
9200;52400;8720;54300;27880;1420;25700;23920;1316
9250;52400;8860;54300;27940;1425;25720;24000;1324
9350;50900;8870;54300;27700;1410;25780;24040;1326
9300;51500;8900;54300;27640;1410;26200;24400;1330
9050;49650;8900;54300;27100;1400;25680;24000;1318
9000;49550;8800;54000;27000;1370;25300;23480;1302
9000;51100;8790;54280;27180;1385;25340;23440;1303
8850;51300;8810;54280;26980;1395;25620;23900;1312
9000;49000;8940;54300;26880;1395;25480;23800;1313
9100;49500;8920;54300;26840;1405;25700;24000;1313
18;50800;8920;54300;26720;1370;25400;23600;1303
9900;51000;9000;54300;27000;1370;25420;23800;1310
9750;50900;8820;54300;26600;1355;25380;23500;1302
9350;49500;8800;54000;26400;1350;25320;23500;1298
9250;48750;8950;54000;26300;1370;25540;23520;1307
9350;50800;9100;54000;26360;1390;25780;24000;1320
9200;50800;9170;54000;26620;1395;25780;24000;1326
9300;49300;9200;54000;26860;1410;25860;24100;1333
9400;48600;9180;54000;26860;1400;26040;24200;1340
9250;48500;9130;54280;27000;1410;25980;24060;1339
9250;47250;9190;54280;27100;1390;25960;24000;1338
19;47450;9100;54280;27020;1365;26000;24120;1329
19;47450;9190;54280;27000;1360;26160;24200;1333
9200;45400;9120;54280;27060;1335;25860;23820;1323
9000;47000;9100;53500;26600;1340;25800;23960;1316
9000;46600;9130;53100;26800;1325;26120;24100;1322
9200;47200;9150;52800;26980;1295;26000;24140;1317
9000;46450;9090;52520;27000;1300;26300;24300;1308
9150;46100;9130;52520;26940;1250;26020;24200;1306
9200;47800;9160;52200;27060;1205;26080;24200;1303
9250;49250;9100;52000;27000;1235;26300;24380;1305
9250;48700;9170;52800;27200;1240;26360;24380;1308
9250;47650;9270;51000;27160;1230;26500;24500;1309
9350;49400;9350;51000;27300;1260;26500;24440;1314
9400;49150;9410;51000;27600;1240;26900;24960;1324
9450;49700;9400;51000;27480;1225;26960;25060;1322
9300;49750;9480;51000;27600;1230;27180;25220;1328
19;49700;9450;51000;27600;1220;27180;25100;1324
9550;47100;9700;51000;27800;1275;27380;25480;1343
9700;46300;9670;53100;27640;1320;27320;25320;1349
9700;47950;9650;53100;27780;1330;27180;25180;1348
19;46500;9610;52800;28100;1320;27720;25640;1350
9700;45000;9620;52520;27820;1290;28080;25800;1349
9750;45400;9700;52500;28160;1330;28180;25960;1359
9700;47950;9800;52500;28700;1325;28280;26200;1370
9700;48500;9860;52800;29000;1325;28360;26200;1371
9700;49100;9890;52800;28740;1320;28640;26400;1373
9800;49250;9880;52800;28940;1320;28560;26440;1372
9800;49250;9820;52900;29060;1325;28640;26560;1374
9550;49250;9900;52900;29180;1320;29100;26800;1380
9600;47750;9860;52900;29000;1295;29260;26900;1379
9400;47850;9850;53000;29300;1320;29880;27500;1394
9400;48450;9900;53000;29200;1345;29780;27440;1398
9350;47500;9970;53000;29760;1340;29760;27320;1403
9300;47550;10200;53000;30160;1365;30200;27660;1418
9350;48400;10220;53100;30040;1400;29940;27400;1416
19;47300;9800;53100;29800;1360;29780;27280;1398
19;46950;9660;53100;29900;1335;29700;27180;1387
19;46050;9640;49000;29620;1300;29220;26680;1367
9300;46100;9890;49300;29300;1275;29020;26600;1373
9250;46050;9900;52900;29100;1265;29280;26820;1373
9200;45500;10080;52900;29080;1230;28200;25980;1355
9200;46000;9980;52900;29020;1220;28200;25980;1355
18;45850;10040;52900;28960;1205;27720;25260;1341
9000;46450;9930;52900;29000;1235;27600;25300;1341
9000;46950;10040;52900;29320;1245;28000;25600;1358
8800;46600;10000;52900;29500;1215;27800;25500;1352
8850;46100;9860;52900;29160;1205;27680;25400;1347
8800;44700;9700;53000;28700;1170;27260;25100;1334
8600;46800;9930;53000;29100;1230;28320;25960;1355
8700;47150;9680;53000;29180;1245;28100;25700;1345
8850;47500;9750;53000;29500;1250;27940;26100;1339
8900;48000;9650;52980;29480;1265;27640;25500;1331
