Oír;Hablar;Ver;Caminar;Manos;Aprendizaje;Comervestirsebañarse;cardíacosrespiratorios;Relacionarse
44;10;154;93;10;29;5;15;4
122;82;502;335;41;58;15;63;7
85;20;225;338;56;35;9;57;5
63;35;282;176;36;23;3;23;3
118;47;501;314;50;29;0;59;12
165;36;363;332;29;54;8;29;9
70;21;157;128;14;34;10;25;7
216;25;377;463;48;49;7;67;3
319;49;848;941;155;142;12;170;22
192;118;503;328;52;52;16;81;6
76;134;223;139;24;25;3;43;4
559;142;1482;1416;247;261;15;425;37
251;88;646;562;132;204;7;169;24
178;49;298;249;58;75;3;39;9
704;173;1804;1150;178;184;13;366;21
389;101;987;788;122;143;7;312;14
112;57;223;236;34;65;7;54;8
63;63;289;160;24;92;11;29;5
188;57;451;397;64;59;9;72;8
182;30;649;537;70;47;4;109;5
367;99;914;1122;136;184;9;239;47
164;38;194;218;42;49;2;58;5
672;462;3020;2023;293;315;74;418;64
529;136;954;1133;214;252;28;207;36
316;44;874;636;106;109;7;159;12
4314;1635;23079;14227;1877;3163;249;4536;365
290;109;1090;710;72;167;18;363;13
111;47;624;440;57;77;2;128;8
118;35;377;226;21;30;0;95;8
37;30;220;243;25;21;3;58;3
45;13;85;129;18;27;2;42;2
50;24;101;146;13;46;5;24;7
226;67;940;559;79;116;16;168;10
144;58;540;362;44;57;6;137;8
226;94;1300;756;73;145;11;339;15
76;20;209;102;5;12;5;43;6
22;6;82;89;21;15;3;14;0
88;65;313;210;27;61;6;33;3
170;110;842;486;54;66;8;197;9
142;70;762;574;68;81;14;147;10
144;40;335;198;19;19;5;30;3
74;55;552;373;44;59;2;181;5
68;13;302;176;20;18;0;39;0
103;34;328;192;18;22;7;35;4
82;40;342;171;10;32;13;45;2
70;18;497;229;21;56;4;137;9
695;217;4503;2330;452;512;32;862;54
46;12;227;109;21;22;3;28;5
72;23;221;202;19;26;1;22;5
992;386;5589;2893;341;689;82;1361;80
403;121;1496;1224;141;273;21;363;31
95;28;296;285;43;33;1;61;1
43;18;125;62;9;23;4;17;5
38;10;170;96;11;18;1;24;0
102;51;535;339;49;52;3;70;2
121;58;621;150;25;53;5;62;21
55;20;161;141;17;47;3;22;2
55;14;281;106;12;19;2;38;4
137;60;446;301;35;66;6;65;5
63;31;154;158;21;9;4;30;5
82;61;448;323;46;65;4;83;3
199;114;1040;487;102;92;13;109;11
178;57;752;578;109;132;5;186;15
54;31;444;248;26;25;3;90;3
503;190;2191;1570;223;403;20;431;34
1816;524;6494;5477;753;1448;132;1989;242
42;11;94;53;3;9;2;26;1
765;201;2843;2261;374;481;39;915;47
251;69;627;750;117;144;16;192;29
49;21;148;117;32;36;0;34;7
96;40;257;270;43;80;6;163;9
42;10;187;145;35;40;6;22;3
434;124;2400;1385;278;226;20;612;27
290;85;818;766;113;175;16;198;28
14;18;50;58;14;16;0;34;1
226;85;862;852;163;162;10;356;35
63;20;123;153;27;36;2;28;3
2546;823;7268;7780;1224;1883;227;2221;294
160;55;500;464;60;72;13;125;14
29;3;26;80;13;16;1;36;1
248;84;883;871;193;172;4;520;39
1506;432;6306;4632;763;1129;110;1678;193
190;58;996;701;139;104;7;434;6
74;21;226;175;24;30;2;64;3
184;87;621;569;108;157;25;249;26
89;50;139;251;37;63;6;85;7
83;23;151;181;26;35;8;46;5
40;27;146;116;26;33;5;50;4
263;83;950;762;136;154;26;490;25
649;179;2515;2070;346;446;36;730;70
189;55;921;509;68;128;5;254;10
3080;1055;11201;11228;1276;2699;283;2975;397
44;9;159;46;12;12;0;7;3
36;20;87;135;8;22;2;48;2
95;33;277;239;30;36;2;95;10
200;70;1241;578;81;90;8;278;18
113;21;494;358;15;32;5;47;5
988;465;5499;3923;521;1070;117;856;112
90;30;464;217;11;28;1;57;5
107;48;401;362;55;63;4;119;10
19;9;146;152;13;7;1;59;1
9;4;47;28;2;1;1;5;1
138;44;387;360;40;42;0;77;3
86;9;371;276;17;26;1;43;8
25;5;137;104;9;16;2;18;1
24;20;115;174;7;21;4;30;2
111;26;318;422;36;49;4;155;3
85;13;144;146;3;18;0;21;0
16;8;103;104;5;10;3;21;0
108;30;422;371;35;41;4;105;8
116;84;635;444;66;112;24;140;11
110;29;466;305;24;81;3;137;9
11;6;49;52;1;11;2;4;0
39;6;198;118;18;46;7;29;3
41;16;137;241;48;57;3;80;7
167;63;824;401;46;76;8;164;5
117;47;542;361;45;34;9;73;8
28;13;185;137;7;10;1;30;3
23;17;102;59;6;4;1;29;2
239;93;1164;660;95;100;5;230;13
8;8;28;82;7;7;0;18;2
70;14;310;229;24;62;1;59;11
53;30;154;172;24;15;2;32;3
1726;549;8433;5600;654;1360;141;1579;158
23;9;138;143;12;13;0;30;4
34;20;140;183;26;35;2;70;8
765;312;4768;3590;525;754;64;1277;121
113;19;347;260;20;33;4;123;5
48;8;228;238;35;27;3;107;13
13;9;23;45;5;5;0;3;2
13;12;72;53;1;27;0;13;5
64;21;313;171;26;17;17;67;7
28;17;131;164;22;13;2;58;0
7;10;30;69;11;39;0;13;6
8;2;54;20;3;3;0;8;0
51;19;204;149;15;14;1;17;1
101;49;485;450;63;99;3;214;7
29;17;220;114;19;48;0;23;0
228;101;1589;863;136;137;14;257;12
105;36;429;301;25;49;1;70;13
44;22;98;195;28;23;1;49;4
288;71;1802;890;82;143;17;425;15
6;6;18;22;1;6;1;6;3
194;79;659;547;43;82;10;202;8
97;24;390;238;32;43;6;61;4
59;21;259;336;56;33;7;151;3
115;38;259;403;54;60;11;113;5
78;28;287;346;37;46;3;74;0
13;8;40;70;6;7;1;14;0
30;7;59;76;5;13;2;19;1
11;11;33;57;12;20;2;21;2
949;341;3236;3377;431;817;69;1167;93
43;26;267;321;26;28;1;104;8
160;65;268;411;61;88;7;92;16
28;31;81;92;26;29;4;27;4
98;98;443;355;37;79;14;75;16
54;47;107;186;23;50;6;29;22
117;95;672;546;129;149;9;221;12
193;41;518;523;50;70;11;160;18
39;8;74;75;8;9;5;3;0
453;152;2515;1966;272;358;25;791;33
38;22;128;116;10;14;2;64;4
81;18;226;302;26;39;2;94;9
32;14;85;78;4;11;2;6;16
318;101;2020;1319;150;139;18;316;27
33;16;63;77;18;10;0;6;1
17;6;80;60;16;27;0;14;1
73;37;278;350;65;59;2;114;8
228;81;1529;936;125;174;15;315;22
104;39;707;352;62;43;3;242;9
78;36;298;251;33;44;6;37;7
27;8;102;86;14;12;2;39;7
26;2;21;62;13;12;1;6;1
70;27;234;199;33;30;5;63;5
243;54;1266;793;130;90;7;348;22
37;8;118;114;10;13;2;21;1
163;24;594;371;29;42;5;150;5
173;38;848;484;34;63;3;118;9
936;593;3449;3010;382;1171;114;732;123
33;18;109;140;13;84;6;37;5
80;59;433;247;16;72;4;34;4
46;26;204;129;11;43;4;22;4
401;203;1993;981;114;345;24;210;32
65;40;526;228;29;53;12;50;6
54;43;342;131;17;25;1;5;1
137;74;618;279;35;86;2;41;7
156;85;565;408;40;103;6;169;11
106;59;301;224;18;36;4;39;2
77;53;346;168;19;62;12;68;3
107;84;846;341;46;117;8;83;8
116;101;601;340;35;72;19;183;12
108;42;620;198;24;78;6;62;5
172;108;810;532;68;126;17;76;8
89;60;347;163;34;43;13;94;4
281;213;1114;696;115;224;30;324;9
113;68;404;289;36;92;16;99;9
58;52;225;166;15;44;36;34;7
353;218;1764;948;102;219;29;309;17
184;140;1121;742;136;213;25;163;21
119;85;467;265;41;93;10;54;14
178;119;876;672;55;150;22;90;19
146;120;641;397;49;109;13;119;9
186;140;1252;716;95;132;8;247;7
47;43;97;157;21;55;10;26;7
2388;873;5919;7426;958;2204;260;1627;284
81;11;221;182;23;38;5;67;3
68;31;172;158;17;31;5;32;7
30;37;472;210;16;61;7;54;1
62;25;147;156;31;30;4;43;1
93;27;307;304;23;68;12;73;5
84;68;309;317;33;55;12;27;15
106;41;251;280;28;63;6;77;9
51;22;122;145;10;51;11;21;4
23;14;37;58;7;20;2;7;5
330;140;888;721;93;148;25;161;21
49;35;110;145;17;42;8;15;0
42;36;67;97;8;33;12;7;5
92;17;309;178;33;48;2;67;7
45;10;112;122;14;31;10;38;6
278;135;764;856;76;352;35;150;30
59;29;291;173;33;40;4;66;6
132;49;219;312;18;120;13;73;8
166;53;605;405;97;93;10;255;29
204;122;499;723;57;171;27;113;17
26;14;40;59;8;17;3;16;4
209;69;672;726;81;168;16;145;9
137;37;451;295;44;76;5;78;5
140;53;467;531;75;143;19;153;7
379;127;1329;1096;172;191;25;386;24
307;119;809;946;121;140;22;256;18
104;57;256;298;50;100;9;71;19
22;17;90;70;12;10;2;15;1
144;62;420;391;32;78;6;80;8
311;156;843;805;108;146;16;124;17
134;74;466;401;51;63;6;137;4
115;33;226;257;13;34;3;31;1
170;76;555;376;73;111;17;131;8
85;37;338;279;35;68;6;84;8
326;121;1549;1120;109;206;19;522;33
152;57;541;318;52;47;10;123;7
41;16;159;96;21;20;1;17;3
113;48;210;329;34;145;6;106;7
131;100;581;500;54;100;15;112;17
113;62;406;350;54;40;9;99;0
154;49;544;395;52;88;14;146;11
43;17;92;121;20;19;0;22;2
43;22;76;59;8;24;2;10;0
34;34;76;65;4;20;6;13;2
104;49;231;261;32;48;6;42;5
102;43;394;345;69;60;3;148;6
37;18;142;241;30;54;4;80;5
16224;4211;79842;44047;6893;11144;982;11279;1334
169;57;796;550;103;146;4;227;6
54;33;84;171;28;62;10;29;13
145;55;1263;490;44;90;10;165;29
88;35;396;165;29;23;5;58;1
59;30;124;166;19;63;6;47;10
1476;915;7906;5192;723;952;134;1471;152
1015;270;4333;2740;368;886;58;1428;68
231;62;719;711;149;212;21;168;16
444;106;1336;1122;159;215;27;408;29
211;45;879;486;113;126;15;178;22
459;177;1486;1096;239;349;49;386;48
1422;334;5812;4585;656;1158;57;1754;125
559;160;2107;1162;190;239;18;293;28
138;57;517;314;58;42;8;119;4
105;26;383;178;24;37;3;98;7
299;135;891;848;158;253;35;173;39
111;40;306;336;70;65;3;81;13
428;144;944;853;117;212;27;114;27
117;33;302;261;34;48;11;81;8
138;71;315;420;74;144;8;122;29
662;240;3287;1835;396;432;57;435;59
267;73;1730;601;123;115;8;255;17
316;79;2099;987;130;244;18;328;38
120;40;313;494;78;98;10;61;10
156;34;1246;511;140;128;10;388;10
1433;460;4124;4004;558;1264;118;925;198
464;174;1851;1119;247;361;22;285;43
227;34;888;476;52;84;11;258;20
135;40;386;396;77;82;2;146;13
320;98;853;761;83;174;21;254;23
80;45;285;326;63;109;8;120;27
545;108;1734;1297;193;236;27;544;36
91;30;509;336;60;67;8;76;9
251;54;999;663;106;108;8;155;7
1619;429;4386;4568;693;1138;92;1114;114
70;24;234;119;9;29;1;36;4
74;23;130;147;24;36;1;6;1
155;42;733;289;24;41;4;53;6
171;50;804;480;114;112;15;280;17
585;207;1838;1671;377;608;49;344;74
334;126;1380;1050;149;261;19;301;32
331;184;1366;1047;170;269;32;274;34
293;164;1628;1023;154;180;19;367;12
29;13;101;47;18;6;3;4;0
132;51;664;349;49;55;7;78;19
12;12;29;25;6;11;1;2;1
371;175;2566;1199;182;202;29;372;28
247;138;1225;746;98;129;15;174;12
707;356;2550;2138;446;677;80;661;67
171;87;846;550;105;172;9;230;17
28;9;95;51;11;7;1;11;3
81;61;433;175;31;37;6;48;5
15;8;57;37;2;5;0;11;0
58;23;290;172;22;56;10;78;3
122;80;508;372;48;67;15;65;8
99;50;350;207;46;44;9;43;6
51;26;145;131;31;40;2;42;1
164;100;639;401;58;111;19;67;12
135;63;628;291;56;65;2;91;3
25;9;171;99;22;21;0;15;0
19;6;28;49;7;24;1;10;2
13;6;25;29;11;9;1;14;0
21;30;39;48;6;28;2;16;4
38;11;114;139;21;22;2;34;8
67;63;199;174;44;72;7;34;12
53;33;102;103;19;34;4;18;6
143;74;551;457;102;136;3;124;7
514;167;1396;1072;192;255;28;232;27
149;32;640;247;46;32;3;25;1
353;132;1405;883;167;175;21;197;22
561;203;2319;1357;237;267;50;440;36
107;41;333;266;52;44;9;47;6
145;117;863;417;101;49;7;106;5
78;94;320;166;35;46;10;17;11
271;63;1099;700;116;119;10;183;7
126;25;419;373;54;62;10;136;11
176;63;791;408;86;68;36;175;7
124;29;473;319;44;36;6;45;3
255;96;1058;617;141;144;14;191;10
255;97;1154;471;123;85;11;164;16
58;44;144;184;23;57;15;29;11
6;3;6;29;3;18;1;2;2
129;91;496;332;54;68;18;86;8
17;12;41;40;7;6;1;7;1
12;10;50;79;14;16;1;22;1
16;17;52;34;7;3;1;6;0
4;2;4;4;2;0;0;1;0
8;4;32;9;5;2;1;10;0
14;5;38;35;8;5;0;6;1
9;10;56;23;4;7;1;1;0
30;11;78;48;9;11;10;11;2
9;8;48;38;3;3;0;6;4
5;12;45;28;8;7;1;4;0
102;77;643;208;32;44;11;61;6
25;25;78;25;5;3;1;5;1
1;3;1;1;0;0;0;0;0
0;2;5;6;2;1;1;0;0
3;2;35;33;3;7;0;10;0
1;2;18;3;1;3;0;1;0
13;7;54;18;10;3;0;8;1
9;5;10;8;0;0;0;5;1
343;176;1349;761;157;167;22;221;20
46;35;230;150;31;22;3;26;6
101;54;447;277;41;42;3;56;4
56;23;269;74;23;8;0;15;1
138;98;588;281;105;34;16;82;9
25;15;66;50;9;2;2;15;1
10;18;40;32;4;1;3;5;1
2;2;5;6;3;0;1;1;0
1;0;3;2;0;1;0;1;0
2;4;17;7;3;0;0;1;0
78;39;282;188;34;41;7;52;9
59;27;224;74;11;18;3;21;4
15;11;71;42;4;9;4;8;3
100;63;371;195;42;23;11;44;7
